FAA-Stream,35851909,JAI227,06/22/2013 12:02:12 AM,-62.9833333333333,43.35,68.8787249462406,510,370,A332,JAI,KEWR,EBBR,JET,COMMERCIAL,ACTIVE,GA,"-62.9833333333333,43.35,370.0"
FAA-Stream,30669731,UAL1547,06/22/2013 12:02:10 AM,-104.45,39.9666666666667,90.0,207,97,B737,UAL,KGEG,DEN,JET,COMMERCIAL,ACTIVE,GA,"-104.45,39.9666666666667,97.0"
FAA-Stream,7096549,AAL362,06/22/2013 12:02:05 AM,-77.3833333333333,42.7,105.227719055802,480,298,MD83,AAL,KORD,KLGA,JET,COMMERCIAL,ACTIVE,GA,"-77.3833333333333,42.7,298.0"
FAA-Stream,55235084,ACA148,06/22/2013 12:02:08 AM,-105.45,50.0833333333333,81.1436390906634,480,329,A321,ACA,CYVR,CYYZ,JET,COMMERCIAL,ACTIVE,GA,"-105.45,50.0833333333333,329.0"
FAA-Stream,11257476,VRD002,06/22/2013 12:00:40 AM,-103.916666666667,39.3833333333333,270.0,425,380,A319,VRD,KDCA,KSFO,JET,COMMERCIAL,ACTIVE,GA,"-103.916666666667,39.3833333333333,380.0"
FAA-Stream,39929686,AER32,06/22/2013 12:02:12 AM,-156.3,58.8166666666667,239.254668020659,210,133,B190,AER,ANC,AKN,TURBO,COMMERCIAL,ACTIVE,GA,"-156.3,58.8166666666667,133.0"
FAA-Stream,29135636,DAL2430,06/22/2013 12:02:07 AM,-108.25,44.9,95.3789824974324,482,370,B738,DAL,KPDX,KMSP,JET,COMMERCIAL,ACTIVE,GA,"-108.25,44.9,370.0"
FAA-Stream,12269001,WJA1403,06/22/2013 12:02:26 AM,-111.7,35.9833333333333,348.519070820273,448,380,B738,WJA,KPHX,CYYC,JET,COMMERCIAL,ACTIVE,GA,"-111.7,35.9833333333333,380.0"
FAA-Stream,43321253,JBU277,06/22/2013 12:02:07 AM,-89.2,29.5666666666667,298.201256697945,445,339,A320,JBU,KFLL,KSFO,JET,COMMERCIAL,ACTIVE,GA,"-89.2,29.5666666666667,339.0"
FAA-Stream,49834986,AWE2046,06/22/2013 12:02:25 AM,-75.0833333333333,39.7666666666667,50.919039136576,483,310,A319,AWE,KDCA,KBOS,JET,COMMERCIAL,ACTIVE,GA,"-75.0833333333333,39.7666666666667,310.0"
FAA-Stream,25309276,N10965,06/22/2013 12:02:03 AM,-120.316666666667,35.05,140.700220807008,148,73,N/A,N,SQL,CMA,PISTON,GENERALAVIATION,ACTIVE,GA,"-120.316666666667,35.05,73.0"
FAA-Stream,54614955,WJA719,06/22/2013 12:02:02 AM,-93.4333333333333,49.4333333333333,294.042307203853,400,320,XXXX,WJA,CYYZ,CYVR,JET,COMMERCIAL,FILED,GA,"-93.4333333333333,49.4333333333333,320.0"
